customer_id,name,signup_date
1,Customer_1,2024-04-12
2,Customer_2,2024-12-14
3,Customer_3,2024-09-27
4,Customer_4,2024-04-16
5,Customer_5,2024-03-12
6,Customer_6,2024-07-07
7,Customer_7,2024-01-21
8,Customer_8,2024-04-12
9,Customer_9,2024-05-01
10,Customer_10,2024-08-02
11,Customer_11,2024-11-26
12,Customer_12,2024-03-28
13,Customer_13,2024-04-09
14,Customer_14,2024-12-25
15,Customer_15,2024-05-31
16,Customer_16,2024-05-10
17,Customer_17,2024-05-29
18,Customer_18,2024-11-04
19,Customer_19,2024-09-14
20,Customer_20,2024-12-09
21,Customer_21,2024-10-20
22,Customer_22,2024-07-10
23,Customer_23,2024-10-03
24,Customer_24,2024-06-09
25,Customer_25,2024-11-09
26,Customer_26,2024-01-22
27,Customer_27,2024-09-09
28,Customer_28,2024-08-23
29,Customer_29,2024-12-10
30,Customer_30,2024-02-18
31,Customer_31,2024-02-28
32,Customer_32,2024-06-18
33,Customer_33,2024-07-06
34,Customer_34,2024-09-27
35,Customer_35,2024-07-08
36,Customer_36,2024-06-23
37,Customer_37,2024-02-20
38,Customer_38,2024-12-29
39,Customer_39,2024-02-24
40,Customer_40,2024-08-31
41,Customer_41,2024-11-15
42,Customer_42,2024-05-10
43,Customer_43,2024-11-02
44,Customer_44,2024-05-14
45,Customer_45,2024-01-21
46,Customer_46,2024-11-24
47,Customer_47,2024-06-15
48,Customer_48,2024-09-30
49,Customer_49,2024-03-29
50,Customer_50,2024-11-11
51,Customer_51,2024-01-14
52,Customer_52,2024-08-29
53,Customer_53,2024-09-21
54,Customer_54,2024-12-11
55,Customer_55,2024-02-22
56,Customer_56,2024-12-05
57,Customer_57,2024-04-01
58,Customer_58,2024-09-20
59,Customer_59,2024-02-04
60,Customer_60,2024-07-24
61,Customer_61,2024-03-21
62,Customer_62,2024-02-19
63,Customer_63,2024-12-25
64,Customer_64,2024-01-02
65,Customer_65,2024-02-23
66,Customer_66,2024-04-15
67,Customer_67,2024-09-16
68,Customer_68,2024-11-05
69,Customer_69,2024-07-09
70,Customer_70,2024-08-05
71,Customer_71,2024-02-13
72,Customer_72,2024-06-10
73,Customer_73,2024-07-20
74,Customer_74,2024-09-26
75,Customer_75,2024-12-16
76,Customer_76,2024-10-30
77,Customer_77,2024-09-27
78,Customer_78,2024-08-02
79,Customer_79,2024-09-08
80,Customer_80,2024-07-08
81,Customer_81,2024-10-22
82,Customer_82,2024-07-31
83,Customer_83,2024-07-26
84,Customer_84,2024-08-24
85,Customer_85,2024-12-03
